id,precio,superficie_total,superficie_util,superficie_terraza,ambientes,dormitorios,banos,estacionamientos,cant_max_habitantes,bodegas,gastos_comunes,cantidad_pisos,departamentos_piso,numero_piso_unidad,comuna
1007,370000.0,52.0,50.0,0.0,2,2,2,0,0,1,65000.0,0,0,0,estación central
1008,306000.0,35.0,32.0,0.0,1,1,1,0,0,0,48000.0,0,0,0,san miguel
1009,1200000.0,165.0,160.0,5.0,0,3,2,2,0,2,320000.0,19,2,15,otras
1010,49.0,157.0,144.0,0.0,3,3,4,2,0,1,350000.0,0,0,0,las condes
1011,304000.0,37.0,37.0,0.0,1,1,1,0,0,0,60000.0,0,0,0,santiago
1012,420000.0,38.0,32.0,0.0,2,1,1,1,0,0,0.0,0,0,0,otras
1013,486625.0,665.0,58.0,0.0,0,2,2,0,4,0,0.0,21,8,13,la cisterna
1014,470000.0,49.0,47.0,0.0,3,3,1,1,0,0,60000.0,0,0,0,otras
1015,458000.0,56.0,56.0,1.0,0,1,2,0,1,0,81000.0,19,20,1,santiago
1016,1531.0,71.0,65.0,0.0,2,2,1,1,0,1,120000.0,0,0,0,otras
1017,1180.0,47.0,42.0,0.0,2,2,1,0,0,0,75000.0,0,0,0,otras
1018,470000.0,58.0,54.0,0.0,3,3,1,2,0,0,60000.0,0,0,0,otras
1019,399000.0,46.0,46.0,1.0,0,2,2,0,2,0,93000.0,24,20,2,santiago
1020,49.0,0.0,180.0,0.0,0,0,0,0,0,0,370000.0,0,0,0,las condes
1021,1600000.0,16586.0,134.0,0.0,0,4,3,2,0,0,270000.0,9,0,0,otras
1022,49.0,160.0,140.0,20.0,0,5,4,2,0,1,290000.0,5,4,0,otras
1023,27.0,120.0,120.0,18.0,0,3,2,2,6,1,185000.0,16,5,6,otras
1024,530000.0,88.0,80.0,0.0,2,2,2,1,0,1,110000.0,0,0,0,otras
1025,2000000.0,0.0,120.0,0.0,0,0,0,0,0,0,350000.0,0,0,0,las condes
1026,334000.0,30.0,30.0,0.0,0,1,1,0,0,0,62000.0,15,11,2,santiago
1027,70.0,0.0,200.0,0.0,0,0,0,0,0,0,500000.0,0,0,0,las condes
1028,350000.0,0.0,42.0,0.0,0,0,0,0,0,0,100000.0,0,0,0,la cisterna
1029,80.0,255.0,202.0,53.0,0,4,4,3,0,1,500000.0,16,2,0,otras
1030,560000.0,73.0,68.0,5.0,0,2,2,0,5,0,65000.0,20,12,11,santiago
1031,380000.0,37.0,32.0,0.0,1,1,1,0,0,0,40000.0,0,0,0,la florida
1032,1275.0,52.0,48.0,0.0,2,2,2,1,0,1,70000.0,0,0,0,otras
